index,params
0,0.129306
1,0.802426
2,0.559386
3,0.073306
4,0.129306
5,0.372346
6,0.802426
7,0.559386
8,0.344346
9,0.316346
10,0.802426
11,0.802426
12,0.316346
13,0.372346
14,0.587386
15,0.073306
16,0.559386
17,0.157306
18,0.587386
19,0.587386
20,0.559386
21,0.372346
22,0.344346
23,0.802426
24,0.101306
25,0.073306
26,0.185306
27,0.157306
28,0.101306
29,0.316346
30,0.316346
31,0.344346
32,0.344346
33,0.372346
34,0.344346
35,0.344346
36,0.587386
37,0.101306
38,0.587386
39,0.129306
40,0.344346
41,0.372346
42,0.587386
43,0.559386
44,0.101306
45,0.101306
46,0.559386
47,0.559386
48,0.101306
49,0.344346
50,0.643386
51,0.344346
52,0.587386
53,0.073306
54,0.587386
55,0.073306
56,0.372346
57,0.316346
58,0.073306
59,0.157306
60,0.157306
61,0.344346
62,0.372346
63,0.615386
64,0.858426
65,0.858426
66,0.073306
67,0.858426
68,0.344346
69,0.559386
70,0.559386
71,0.344346
72,0.101306
73,0.559386
74,0.344346
75,0.316346
76,0.101306
77,0.587386
78,0.400346
79,0.344346
80,0.372346
81,1.073466
82,1.045466
83,0.101306
84,0.344346
85,0.372346
86,0.372346
87,0.101306
88,0.157306
89,0.344346
90,0.185306
91,0.157306
92,0.372346
93,0.559386
94,0.129306
95,0.073306
96,0.587386
97,0.101306
98,0.129306
99,0.587386
100,0.802426
101,0.344346
102,0.400346
103,0.587386
104,0.129306
105,0.073306
106,0.101306
107,0.344346
108,0.101306
109,0.615386
110,0.316346
111,0.615386
112,0.559386
113,0.101306
114,0.559386
115,0.316346
116,0.372346
117,0.830426
118,0.073306
119,0.615386
120,0.559386
121,0.615386
122,0.157306
123,0.344346
124,0.344346
125,0.129306
126,0.129306
127,0.372346
128,0.587386
129,0.830426
130,0.344346
131,0.344346
132,0.344346
133,0.587386
134,0.157306
135,0.316346
136,1.045466
137,0.802426
138,1.288506
139,0.587386
140,0.372346
141,0.157306
142,0.615386
143,0.344346
144,0.559386
145,0.129306
146,0.316346
147,0.830426
148,0.372346
149,0.129306
150,0.129306
151,0.101306
152,0.372346
153,0.643386
154,0.400346
155,0.344346
156,0.316346
157,0.073306
158,0.615386
159,0.344346
160,0.316346
161,0.316346
162,0.615386
163,0.101306
164,0.830426
165,0.615386
166,0.129306
167,0.129306
168,0.643386
169,0.344346
170,0.129306
171,0.830426
172,0.073306
173,0.129306
174,0.344346
175,0.559386
176,0.101306
177,0.129306
178,0.400346
179,0.587386
180,0.830426
181,0.157306
182,0.073306
183,0.316346
184,0.587386
185,0.587386
186,0.073306
187,0.129306
188,0.344346
189,0.559386
190,0.344346
191,0.559386
192,0.559386
193,0.344346
194,0.344346
195,0.316346
196,0.344346
197,0.344346
198,0.372346
199,0.073306
200,0.101306
201,0.101306
202,0.830426
203,0.858426
204,0.587386
205,0.344346
206,0.316346
207,0.587386
208,0.101306
209,0.372346
210,0.316346
211,0.615386
212,0.830426
213,0.344346
214,0.587386
215,0.073306
216,0.101306
217,0.559386
218,0.344346
219,0.344346
220,0.559386
221,0.316346
222,0.344346
223,0.073306
224,0.830426
225,0.316346
226,0.101306
227,0.802426
228,0.372346
229,0.101306
230,0.428346
231,0.344346
232,0.073306
233,0.073306
234,0.372346
235,0.830426
236,0.372346
237,0.587386
238,0.587386
239,0.073306
240,0.073306
241,0.615386
242,0.615386
243,0.101306
244,0.615386
245,0.344346
246,0.372346
247,0.101306
248,0.372346
249,0.372346
250,0.559386
251,0.316346
252,0.587386
253,0.157306
254,0.129306
255,0.344346
256,0.372346
257,0.559386
258,0.559386
259,0.344346
260,0.101306
261,0.830426
262,0.316346
263,0.587386
264,0.615386
265,0.830426
266,0.344346
267,0.372346
268,0.830426
269,0.372346
270,0.344346
271,0.316346
272,0.316346
273,0.802426
274,0.858426
275,0.559386
276,0.344346
277,0.830426
278,0.316346
279,0.587386
280,0.101306
281,0.615386
282,0.559386
283,0.372346
284,0.101306
285,0.372346
286,0.559386
287,0.615386
288,0.559386
289,0.587386
290,0.344346
291,0.344346
292,0.372346
293,0.858426
294,0.316346
295,0.802426
296,0.129306
297,0.073306
298,0.129306
299,0.802426
300,0.129306
301,0.830426
302,0.101306
303,0.157306
304,0.316346
305,0.073306
306,0.316346
307,0.802426
308,0.344346
309,0.129306
310,0.400346
311,0.344346
312,0.344346
313,0.073306
314,0.587386
315,0.344346
316,0.400346
317,0.344346
318,0.587386
319,0.101306
320,0.615386
321,0.129306
322,0.587386
323,0.129306
324,0.129306
325,0.559386
326,0.400346
327,0.157306
328,0.344346
329,0.400346
330,0.344346
331,0.101306
332,0.316346
333,0.344346
334,0.101306
335,0.372346
336,0.587386
337,0.344346
338,0.129306
339,0.587386
340,0.344346
341,0.101306
342,0.101306
343,0.101306
344,0.802426
345,0.073306
346,0.344346
347,0.372346
348,0.344346
349,0.316346
350,0.587386
351,0.400346
352,0.587386
353,0.101306
354,0.101306
355,0.344346
356,0.587386
357,0.344346
358,0.587386
359,0.129306
360,0.615386
361,0.858426
362,0.615386
363,0.316346
364,0.101306
365,0.073306
366,0.372346
367,0.587386
368,0.157306
369,0.559386
370,0.372346
371,0.316346
372,0.372346
373,0.372346
374,0.858426
375,0.101306
376,0.587386
377,0.802426
378,1.073466
379,0.129306
380,0.344346
381,0.615386
382,0.587386
383,0.559386
384,0.587386
385,0.587386
386,0.344346
387,0.073306
388,0.372346
389,0.400346
390,0.073306
391,1.045466
392,0.372346
393,0.344346
394,0.559386
395,0.372346
396,0.101306
397,0.372346
398,0.400346
399,0.372346
400,0.559386
401,0.344346
402,0.400346
403,0.344346
404,0.587386
405,0.157306
406,0.344346
407,0.073306
408,0.101306
409,0.372346
410,0.372346
411,0.858426
412,0.830426
413,0.615386
414,0.129306
415,0.344346
416,0.372346
417,0.344346
418,0.400346
419,0.316346
420,0.129306
421,0.316346
422,0.400346
423,0.129306
424,0.344346
425,0.802426
426,0.101306
427,0.344346
428,0.372346
429,0.372346
430,0.587386
431,0.316346
432,0.073306
433,0.316346
434,0.559386
435,0.615386
436,0.316346
437,0.559386
438,0.316346
439,0.643386
440,1.101466
441,0.316346
442,0.372346
443,0.802426
444,0.587386
445,0.400346
446,0.400346
447,0.316346
448,0.559386
449,0.101306
450,0.643386
451,0.344346
452,0.344346
453,0.372346
454,0.830426
455,0.615386
456,0.587386
457,0.344346
458,0.615386
459,0.344346
460,0.344346
461,0.372346
462,0.129306
463,0.559386
464,0.344346
465,0.073306
466,0.615386
467,0.316346
468,0.344346
469,0.372346
470,0.372346
471,0.830426
472,0.344346
473,0.129306
474,0.101306
475,0.316346
476,0.587386
477,0.615386
478,0.802426
479,0.157306
480,0.587386
481,0.129306
482,0.344346
483,0.344346
484,0.344346
485,0.157306
486,0.802426
487,0.615386
488,0.587386
489,0.344346
490,0.858426
491,0.615386
492,0.559386
493,0.129306
494,0.101306
495,0.587386
496,0.587386
497,0.587386
498,0.073306
499,0.587386
500,0.587386
501,0.101306
502,0.101306
503,0.587386
504,0.344346
505,0.157306
506,0.400346
507,0.344346
508,0.316346
509,0.802426
510,0.372346
511,0.559386
512,0.157306
513,0.400346
514,0.372346
515,0.344346
516,0.559386
517,0.344346
518,0.372346
519,0.344346
520,0.400346
521,0.073306
522,0.559386
523,0.587386
524,0.372346
525,0.559386
526,0.559386
527,0.643386
528,0.344346
529,0.129306
530,0.316346
531,0.643386
532,0.129306
533,0.129306
534,0.344346
535,0.372346
536,0.344346
537,0.129306
538,0.559386
539,0.587386
540,0.073306
541,0.615386
542,0.858426
543,0.830426
544,0.185306
545,0.316346
546,0.559386
547,0.400346
548,0.372346
549,0.587386
550,0.101306
551,0.615386
552,0.344346
553,0.344346
554,0.344346
555,0.344346
556,0.101306
557,0.344346
558,0.185306
559,0.344346
560,0.316346
561,0.316346
562,0.157306
563,0.802426
564,0.344346
565,0.559386
566,0.129306
567,0.073306
568,0.372346
569,0.073306
570,0.344346
571,1.073466
572,0.372346
573,0.316346
574,0.101306
575,0.615386
576,0.185306
577,0.587386
578,0.587386
579,0.157306
580,0.101306
581,0.400346
582,1.045466
583,0.129306
584,0.344346
585,0.615386
586,0.615386
587,0.587386
588,0.615386
589,0.344346
590,0.344346
591,0.400346
592,0.587386
593,0.802426
594,0.316346
595,0.157306
596,0.344346
597,0.344346
598,0.615386
599,0.559386
600,0.830426
601,0.101306
602,0.802426
603,0.101306
604,0.587386
605,0.344346
606,0.559386
607,0.428346
608,0.559386
609,0.830426
610,0.559386
611,0.400346
612,0.372346
613,0.344346
614,0.372346
615,0.344346
616,0.587386
617,0.587386
618,0.587386
619,0.129306
620,0.073306
621,0.400346
622,0.372346
623,0.615386
624,0.316346
625,0.372346
626,0.615386
627,0.101306
628,0.316346
629,1.045466
630,0.559386
631,0.372346
632,0.073306
633,0.129306
634,0.344346
635,0.073306
636,0.316346
637,0.129306
638,0.372346
639,0.344346
640,0.073306
641,0.587386
642,0.157306
643,0.185306
644,0.559386
645,0.587386
646,0.316346
647,0.830426
648,1.073466
649,0.213306
650,0.559386
651,0.101306
652,0.615386
653,0.316346
654,0.587386
655,1.045466
656,0.344346
657,0.344346
658,0.372346
659,0.129306
660,0.101306
661,0.129306
662,0.587386
663,0.830426
664,0.316346
665,0.316346
666,0.643386
667,0.372346
668,0.344346
669,0.344346
670,0.344346
671,0.129306
672,0.615386
673,0.344346
674,0.129306
675,0.073306
676,0.372346
677,0.316346
678,0.372346
679,0.344346
680,0.428346
681,0.643386
682,1.045466
683,0.101306
684,0.587386
685,0.157306
686,0.587386
687,0.101306
688,1.045466
689,0.400346
690,0.802426
691,0.129306
692,0.559386
693,0.073306
694,0.316346
695,0.830426
696,0.316346
697,0.802426
698,0.587386
699,0.615386
700,0.316346
701,0.587386
702,0.643386
703,0.559386
704,0.101306
705,0.316346
706,0.101306
707,0.830426
708,0.830426
709,0.372346
710,0.344346
711,0.101306
712,0.129306
713,0.344346
714,0.344346
715,0.129306
716,0.073306
717,0.372346
718,0.129306
719,0.101306
720,0.830426
721,0.587386
722,0.830426
723,0.073306
724,0.157306
725,0.587386
726,0.400346
727,0.129306
728,0.344346
729,0.372346
730,0.316346
731,0.372346
732,0.858426
733,0.372346
734,0.101306
735,0.157306
736,0.129306
737,0.185306
738,0.372346
739,0.101306
740,0.559386
741,0.316346
742,1.045466
743,0.101306
744,0.559386
745,0.073306
746,0.372346
747,0.858426
748,0.559386
749,0.886426
750,0.802426
751,0.372346
752,0.400346
753,0.101306
754,0.316346
755,0.559386
756,0.185306
757,0.129306
758,0.073306
759,0.129306
760,0.372346
761,0.344346
762,0.559386
763,0.101306
764,0.559386
765,0.316346
766,0.400346
767,0.316346
768,0.802426
769,0.559386
770,0.830426
771,0.344346
772,0.073306
773,0.802426
774,0.587386
775,0.372346
776,0.316346
777,0.316346
778,0.802426
779,0.129306
780,0.344346
781,0.344346
782,0.400346
783,0.372346
784,0.587386
785,0.344346
786,0.101306
787,0.372346
788,0.559386
789,0.316346
790,0.587386
791,0.587386
792,0.316346
793,0.372346
794,0.129306
795,0.316346
796,0.802426
797,0.344346
798,0.101306
799,0.101306
800,0.372346
801,0.587386
802,0.129306
803,0.643386
804,0.316346
805,0.587386
806,0.073306
807,0.344346
808,0.615386
809,0.372346
810,0.587386
811,0.587386
812,0.316346
813,0.372346
814,0.559386
815,0.802426
816,0.344346
817,0.587386
818,0.802426
819,0.372346
820,0.802426
821,0.372346
822,0.372346
823,0.129306
824,0.830426
825,0.129306
826,0.344346
827,0.587386
828,0.344346
829,0.400346
830,0.316346
831,0.372346
832,0.073306
833,0.372346
834,0.344346
835,0.185306
836,0.344346
837,0.344346
838,0.400346
839,0.129306
840,1.073466
841,0.372346
842,0.316346
843,0.830426
844,0.587386
845,0.073306
846,0.316346
847,0.344346
848,0.101306
849,0.101306
850,0.316346
851,0.129306
852,0.858426
853,0.101306
854,0.344346
855,0.344346
856,0.587386
857,0.858426
858,0.101306
859,0.129306
860,0.129306
861,0.129306
862,0.886426
863,0.344346
864,0.129306
865,0.129306
866,0.587386
867,0.073306
868,0.344346
869,0.830426
870,0.372346
871,0.344346
872,0.344346
873,1.073466
874,0.344346
875,0.587386
876,0.316346
877,0.316346
878,0.101306
879,0.316346
880,0.372346
881,0.372346
882,0.101306
883,0.615386
884,0.372346
885,0.101306
886,0.157306
887,0.101306
888,0.559386
889,0.587386
890,0.129306
891,0.316346
892,0.559386
893,0.073306
894,0.101306
895,0.858426
896,0.559386
897,0.129306
898,0.344346
899,0.316346
900,0.129306
901,0.073306
902,0.129306
903,0.400346
904,0.344346
905,0.344346
906,0.372346
907,0.615386
908,0.559386
909,0.344346
910,0.802426
911,0.344346
912,0.615386
913,0.101306
914,0.587386
915,0.671386
916,0.400346
917,0.157306
918,0.129306
919,0.372346
920,0.101306
921,0.372346
922,0.129306
923,0.559386
924,0.372346
925,0.587386
926,0.344346
927,0.316346
928,0.316346
929,0.101306
930,0.344346
931,0.073306
932,0.344346
933,0.073306
934,0.073306
935,0.101306
936,0.344346
937,0.802426
938,0.615386
939,0.073306
940,0.157306
941,0.559386
942,0.643386
943,0.587386
944,0.802426
945,1.045466
946,0.344346
947,0.101306
948,0.559386
949,0.157306
950,0.316346
951,0.587386
952,0.129306
953,0.101306
954,0.073306
955,0.372346
956,0.101306
957,0.073306
958,0.372346
959,0.559386
960,0.615386
961,0.615386
962,0.344346
963,0.372346
964,0.316346
965,0.615386
966,0.559386
967,0.344346
968,0.372346
969,0.316346
970,0.587386
971,0.316346
972,0.559386
973,0.344346
974,0.129306
975,0.101306
976,0.559386
977,0.372346
978,0.372346
979,0.559386
980,0.587386
981,0.372346
982,0.643386
983,1.288506
984,0.372346
985,0.802426
986,0.157306
987,0.372346
988,0.101306
989,0.344346
990,0.400346
991,0.615386
992,0.802426
993,0.559386
994,0.129306
995,0.129306
996,0.830426
997,0.372346
998,0.559386
999,0.372346
1000,0.587386
1001,0.101306
1002,0.802426
1003,0.101306
1004,0.344346
1005,0.129306
1006,0.615386
1007,0.073306
1008,0.129306
1009,0.587386
1010,0.830426
1011,0.372346
1012,0.101306
1013,0.643386
1014,0.344346
1015,0.587386
1016,0.372346
1017,0.101306
1018,0.316346
1019,0.372346
1020,0.344346
1021,0.830426
1022,0.344346
1023,0.830426
1024,1.045466
1025,0.400346
1026,0.129306
1027,0.830426
1028,0.073306
1029,0.344346
1030,0.344346
1031,0.587386
1032,0.129306
1033,0.157306
1034,0.615386
1035,0.344346
1036,0.587386
1037,0.559386
1038,0.316346
1039,0.101306
1040,0.428346
1041,0.344346
1042,0.830426
1043,0.157306
1044,0.344346
1045,0.559386
1046,0.587386
1047,0.372346
1048,0.372346
1049,0.400346
1050,0.372346
1051,0.344346
1052,0.101306
1053,0.830426
1054,0.344346
1055,0.615386
1056,0.316346
1057,0.073306
1058,1.045466
1059,0.372346
1060,0.157306
1061,0.073306
1062,1.073466
1063,0.316346
1064,0.372346
1065,0.372346
1066,0.587386
1067,0.372346
1068,0.587386
1069,0.830426
1070,0.073306
1071,0.344346
1072,0.101306
1073,0.587386
1074,0.587386
1075,0.157306
1076,0.101306
1077,0.559386
1078,0.615386
1079,0.344346
1080,0.830426
1081,0.316346
1082,0.372346
1083,0.316346
1084,0.615386
1085,0.316346
1086,0.830426
1087,0.559386
1088,0.344346
1089,0.344346
1090,0.129306
1091,0.344346
1092,0.316346
1093,0.830426
1094,0.316346
1095,0.129306
1096,0.559386
1097,0.101306
1098,0.101306
1099,0.802426
1100,0.157306
1101,0.344346
1102,0.372346
1103,0.344346
1104,0.316346
1105,0.587386
1106,0.101306
1107,0.073306
1108,0.157306
1109,0.316346
1110,0.344346
1111,0.316346
1112,0.344346
1113,0.185306
1114,0.559386
1115,0.587386
1116,0.316346
1117,0.400346
1118,0.316346
1119,0.101306
1120,0.858426
1121,0.372346
1122,0.615386
1123,0.129306
1124,0.559386
1125,0.073306
1126,0.587386
1127,0.344346
1128,0.316346
1129,0.587386
1130,0.615386
1131,0.559386
1132,0.316346
